organizationName,organizationNames,description,location,startsOn,endsOn,categoryNames
Bachelors of Social Work Student Association,"['Bachelors of Social Work Student Association', 'Chi Sigma Iota Counseling Honor Society', 'Master of Social Work Student Association']","<p>Join us for food, friendship, and painting. The UCF counseling center will be decorated with paintings, so if you are an artist, we would especially love to have you join!</p>",Lake Claire Pavilion @ Main UCF Campus ,2025-10-25 16:00:00+00:00,2025-10-25 20:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us at Faith United Methodist Church every Sunday for worship starting at 10:00 a.m.&nbsp;</p>
<p>&nbsp;</p>
<p>Faith UMC shares our mission to alleviate poverty, and we are so excited to partner with their community. Rev. Erwin Lopez will serve as pastor and preach every Sunday.&nbsp;</p>
<p>&nbsp;</p>
<p>A bus will leave from the Wesley Foundation on UCF Campus at 9:15 a.m. to transport those needed to Faith UMC. Immediately following the service, a free brunch will be provided! Hope to see you there!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",Faith United Methodist Church,2025-10-26 14:00:00+00:00,2025-10-26 15:00:00+00:00,[]
Knight Hacks,[],"<div class=""relative -ml-8 flex items-start"">
<div class=""flex flex-col items-center justify-center group relative m-4 sm:m-6 md:m-8"">
<div class=""flex items-center justify-center bg-[#F7F0C6] rounded-none px-5 py-4 sm:py-6 md:py-8 sm:px-10 md:px-16 tk-ccmeanwhile  relative transition-transform duration-100 group-hover:-translate-x-1 group-hover:-translate-y-1 outline-black outline-2 -outline-offset-3 w-full h-full"">
<div class=""text-center text-sm md:text-xl lg:text-2xl"">
<p>The University of Central Florida's premier hackathon,<em><strong>&nbsp;KNIGHT HACKS VIII,&nbsp;</strong></em>emerges from the shadows...<br /><br />During the 36-hour coding showdown, hackers will enlist the power of workshops, swag, tech talks, side quests, free food, games, and community to save the world!</p>
</div>
</div>
<div class=""absolute top-0 left-0 bg-black rounded-none -z-10 group-hover:translate-x-2 group-hover:translate-y-2 transition-transform duration-100 w-full h-full"">&nbsp;</div>
</div>
</div>
<div class=""ml-8 flex items-start"">
<div class=""flex flex-col items-center justify-center group relative mb-8 sm:mb-12 md:mb-16"">
<div class=""flex items-center justify-center bg-[#F7F0C6] rounded-none px-5 py-4 sm:py-6 md:py-8 sm:px-10 md:px-16 tk-ccmeanwhile  relative transition-transform duration-100 group-hover:-translate-x-1 group-hover:-translate-y-1 outline-black outline-2 -outline-offset-3 w-full h-full"">
<div class=""text-center text-sm md:text-xl lg:text-2xl"">
<p>Our friends<span class=""text-[#1570AD]"">&nbsp;T.K.&nbsp;</span>and<span class=""text-[#C1272D]"">&nbsp;Lenny&nbsp;</span>are at straits, and it's<em><strong>&nbsp;your&nbsp;</strong></em>job to settle the matter once and for all.<br /><br />In a world where innovation is war and bugs are monsters, Hackers have a choice...<br /><br /><strong>REGISTER HERE</strong>&nbsp;<a href=""https://2025.knighthacks.org/"">https://2025.knighthacks.org/</a></p>
</div>
</div>
</div>
</div>",ENGINEERING II Atrium,2025-10-24 16:00:00+00:00,2025-10-26 17:00:00+00:00,[]
Beach Volleyball Club @ UCF,[],"<p>Home Tourney Location: Bellevue Ave, Daytona Beach, 32114</p>",Bellevue Ave ,2025-10-25 11:30:00+00:00,2025-10-26 23:30:00+00:00,[]
Neptune Community,[],<p>Ponyo Fork and Film</p>,"Neptune MPR, Building 158",2025-10-26 23:00:00+00:00,2025-10-27 01:00:00+00:00,[]
UCF Arboretum,[],"<div class=""copy-paste-block"">Come join us and get your hands dirty in our community garden! Learn how to set up a farm, transplant, prune, propagate, plant, and many other tasks that keep a garden growing! Closed-toed shoes MUST be worn, or you will not be able to participate. Gloves are also required in the case of ants, so please bring your own, or you can borrow a pair from us. Please be sure to bring a reusable water bottle! For the next few months, the weather will be very hot so dress appropriately (&amp; we will take a few water breaks throughout). Thank you!</div>
<div class=""copy-paste-block"">
<p><strong>*All volunteer shift hour requests MUST be submitted by 5pm on Friday of each week. Any late requests will be automatically denied.</strong></p>
<p><strong>*Volunteers may miss NO MORE than 3 volunteer shifts!! If you can no longer attend, change your RSVP beforehand!</strong></p>
<p><strong>**If you experience a waitlist issue and are moved into the RSVP at the last minute, please send us a screenshot of the Knight Connect&nbsp;email that notified&nbsp;you.</strong></p>
<p><strong>***If you show up after the volunteering group has moved to the farm, you cannot earn the full 2 hours of service credit.</strong></p>
<p>If you have any questions about this event, feel free to email @kristen.barger@ucf.edu :)</p>
</div>",Arboretum,2025-10-27 14:00:00+00:00,2025-10-27 16:00:00+00:00,[]
Volunteer UCF,[],"<p>Join Volunteer UCF and Nemours to learn about art therapy and its role in healthcare. During this event, there will be a presentation about art therapy as well as an activity for individuals to participate in.&nbsp;</p>
<p>-&nbsp;<strong>Date</strong>: Monday, October 27th, 2025</p>
<p>-&nbsp;<strong>Time</strong>: 3 pm to 4 pm</p>
<p>-&nbsp;<strong>Location</strong>: Trevor Colbourn Hall Room 0107</p>
<p>-&nbsp;<strong>Parking</strong>: Parking is available anywhere on campus, but I suggest parking in garages A or I to be close to the location</p>
<p>-&nbsp;<strong>Dress Code</strong>: Casual fit and appropriate clothing</p>
<p><strong>Volunteers Must:</strong></p>
<p>- Please complete the Volunteer UCF Covenant Not to Sue and Agreement to Hold Harmless Form on Knight Connect</p>
<p><a href=""https://knightconnect.campuslabs.com/engage/submitter/form/start/686837"">https://knightconnect.campuslabs.com/engage/submitter/form/start/686837</a>&nbsp;</p>
<p>If you have any questions, please reach out to&nbsp;<strong>vucf_arts@ucf.edu</strong></p>
<p>Hope to see you there!!&nbsp;</p>",Trevor Colbourn Hall Room 0107,2025-10-27 19:00:00+00:00,2025-10-27 20:00:00+00:00,['Community Service']
GenCLEO@UCF,[],"<section class=""css-1w2p18d ef8693v3"">
<div class=""css-1ewqap6 ef8693v1"">
<div class=""css-xtvjy3"">
<div class=""css-1njhs7w et84t5r0"">
<div id=""collapseEventDetail-description"" class=""css-gygapm ejb1rhe1"">
<div>
<p></p>
<p data-start=""119"" data-end=""163"">🌎 <strong data-start=""122"" data-end=""158"">GenCLEO Action Weekly Phonebanks</strong> 🌎</p>
<p data-start=""165"" data-end=""417"">Join us every Monday and Thursday from 5:00&ndash;6:00 PM for our recurring virtual phonebanks! Together, we&rsquo;ll be reaching out to voters in Districts 1 and 3 to share who GenCLEO Action is endorsing as a Climate Champion in this upcoming election.</p>
<p data-start=""419"" data-end=""570"">This is a great way to earn service hours, build advocacy skills, and take action for the future of our planet&mdash;all from the comfort of your home!</p>
<p data-start=""572"" data-end=""659"">📅 <strong data-start=""575"" data-end=""584"">When:</strong> Every Monday &amp; Thursday, 5:00&ndash;6:00 PM<br data-start=""622"" data-end=""625"" />💻 <strong data-start=""628"" data-end=""638"">Where:</strong> Virtually via Zoom</p>
<p data-start=""661"" data-end=""683"">👉 <strong data-start=""664"" data-end=""681"">Sign up here:</strong></p>
<ul data-start=""684"" data-end=""737"">
<li data-start=""684"" data-end=""709"">
<p data-start=""686"" data-end=""709""><a class=""decorated-link"" rel=""noopener"" data-start=""686"" data-end=""707"">Monday Phonebanks</a></p>
</li>
<li data-start=""710"" data-end=""737"">
<p data-start=""712"" data-end=""737""><a class=""decorated-link"" rel=""noopener"" data-start=""712"" data-end=""735"">Thursday Phonebanks</a></p>
</li>
</ul>
<p data-start=""739"" data-end=""805"">⭐ Earn <strong data-start=""746"" data-end=""764"">1 service hour</strong> for each phonebank session you attend!</p>
<hr data-start=""807"" data-end=""812"" />
<p data-start=""814"" data-end=""846"">📲 <strong data-start=""817"" data-end=""844"">Stay connected with us!</strong></p>
<ul data-start=""847"" data-end=""988"">
<li data-start=""847"" data-end=""922"">
<p data-start=""849"" data-end=""922"">Join our Discord: <a class=""decorated-link"" href=""https://discord.gg/eJraz8rP?event=1420214346604089445"" target=""_new"" rel=""noopener"" data-start=""867"" data-end=""920"">https://discord.gg/eJraz8rP?event=1420214346604089445</a></p>
</li>
<li data-start=""923"" data-end=""988"">
<p data-start=""925"" data-end=""988"">Follow us on Instagram: <a class=""decorated-link"" href=""https://www.instagram.com/gencleo_ucf"" target=""_new"" rel=""noopener"" data-start=""949"" data-end=""986"">https://www.instagram.com/gencleo_ucf</a></p>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</section>",Online,2025-10-27 21:00:00+00:00,2025-10-27 22:00:00+00:00,['Community Service']
Towers I Apartments,"['Towers I Apartments', 'Housing and Residence Life']",<p>We're hosting an event where residents can decorate Halloween-themed sugar cookies while also watching a Halloween movie to build a sense of belonging by interacting with one another and socialize!</p>,Tower 1 Lobby (1st Floor),2025-10-27 23:00:00+00:00,2025-10-28 00:30:00+00:00,[]
Baptist Collegiate Ministries,[],<p>Come join us for a great time of fellowship and painting! We can't wait to see you there! Food will be provided!</p>,HS1 116,2025-10-27 23:00:00+00:00,2025-10-28 02:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us for a space where college students can explore important topics that college may not necessarily teach. Each topic is thoughtfully curated to help students navigate the challenges of college life and prepare for life after graduation.</p>
<p><br />Brunch and Learn is inspired by the King Center&rsquo;s&nbsp;<em data-stringify-type=""italic"">Lunch and Learn</em>&nbsp;series and its focus on gathering information and educating ourselves. It is also shaped by the United Methodist emphasis on being a faith of both heart and mind.</p>
<p>&nbsp;</p>
<p>While you learn valuable lessons, enjoy a free brunch on us.</p>
<ul>
<li aria-level=""2"">11:30 AM &ndash; Eat</li>
<li aria-level=""2"">11:45&ndash;12:30 PM &ndash; Topic Discussion</li>
<li aria-level=""2"">12:30 PM &ndash; Hang out and Q&amp;A</li>
</ul>",Wesley Foundation,2025-10-28 15:30:00+00:00,2025-10-28 16:30:00+00:00,[]
Downtown Student Life,[],"<p data-start=""41"" data-end=""285"">Ready to chill, win, and meet new friends? Join us for Bingo &amp; Chill - a laid-back afternoon filled with fun, prizes, and free food. Whether you're in it for the bingo, the snacks, or just to vibe with other students, you won't want to miss it!</p>
<p data-start=""287"" data-end=""359"">When: October 28th: 1 PM &ndash; 3 PM<br data-start=""319"" data-end=""322"" />Where: DPAC 107<br data-start=""337"" data-end=""340"" />What&rsquo;s happening:</p>
<ul data-start=""360"" data-end=""455"">
<li data-start=""360"" data-end=""402"">
<p data-start=""362"" data-end=""402"">Bingo games with chances to win prizes</p>
</li>
<li data-start=""403"" data-end=""423"">
<p data-start=""405"" data-end=""423"">Free promo items</p>
</li>
<li data-start=""424"" data-end=""437"">
<p data-start=""426"" data-end=""437"">Free food</p>
</li>
<li data-start=""438"" data-end=""455"">
<p data-start=""440"" data-end=""455"">Great company</p>
</li>
</ul>
<p data-start=""457"" data-end=""547"" data-is-last-node="""" data-is-only-node="""">Bring your friends or come solo &mdash; either way, it&rsquo;s going to be a good time. See you there!</p>",DPAC Room 107,2025-10-28 17:00:00+00:00,2025-10-28 19:00:00+00:00,[]
Every Nation Campus,[],"<p>Join us every Tuesday at 2:30PM in front of Memory Mall Starbucks to pray for our campus!</p>
<p>Whether you&rsquo;re new to campus or a familiar face, come join us to meet new friends and ignite your faith! We can&rsquo;t wait to see you there!</p>",Memory Mall Starbucks,2025-10-28 18:30:00+00:00,2025-10-28 19:00:00+00:00,[]
Bachelors of Social Work Student Association,[],"<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">The leaves are falling, pumpkins are calling, and it's time for&nbsp;</span><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">the perfect fall picnic!</span> <span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Join BSWSA for a cozy afternoon filled with creativity, laughter, and autumn vibes.&nbsp;</span><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Pumpkins and supplies are included!</span></p>
<p class=""cvGsUA direction-ltr align-center para-style-body""><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">$ 5.00 fee</span></p>",Reflecting Pond,2025-10-28 20:30:00+00:00,2025-10-28 22:30:00+00:00,[]
Knights for Wildlife Conservation ,[],<p>Clean up the pond next to the RWC Park with us!</p>,Lake Christine - RWC Park,2025-10-28 22:30:00+00:00,2025-10-28 23:30:00+00:00,[]
Society of Environmental Engineers,[],"<p>Dave&rsquo;s Hot Chicken will be catered! Dr. Hu will be discussing nature based solutions to excess nutrient removal. Dr. Haofei Yu will be discussing geo engineering, weather modification, and cloud seeding. Hope to see you there!</p>",TBD,2025-10-28 22:30:00+00:00,2025-10-28 23:30:00+00:00,[]
Nike Community,[],<p>Come out and enjoy Halloween-themed door-decor making with themed Halloween snacks!</p>,Nike Programming Center - Building 101,2025-10-28 22:00:00+00:00,2025-10-29 00:00:00+00:00,[]
Tower III Apartments,"['Tower III Apartments', 'Housing and Residence Life']","<p>This Halloween Cookie Decorating &amp; Movie Night event is designed to foster community and connection in a fun, festive, and relaxed environment. Residents will have the opportunity to decorate Halloween-themed cookies with a variety of toppings while enjoying a classic horror film. The combination of creative activity and shared entertainment encourages social interaction, stress relief, and seasonal celebration.</p>",Tower 3 Lobby,2025-10-28 22:00:00+00:00,2025-10-29 00:00:00+00:00,[]
Shantymen of the Knight,[],"<p>Weekly rehearsals to learn new tunes, review old ones, and hang out.</p>",Second Floor Practice Rooms: PAC - Music Building,2025-10-28 22:30:00+00:00,2025-10-29 00:00:00+00:00,[]
Tower II Apartments,"['Tower II Apartments', 'Housing and Residence Life']","<p>Mix, mingle, and sip your way into the season! At this interactive event, you&rsquo;ll get to create your own spooky-themed mocktail while <em>Over the Garden Wall</em> plays on the big screen. It&rsquo;s the perfect chance to laugh, share recipes, and enjoy a fun fall night with your neighbors.</p>
<p>&nbsp;</p>",Tower 2 Lobby ,2025-10-28 23:00:00+00:00,2025-10-29 00:00:00+00:00,[]
Every Nation Campus,[],"<p>Join us every Tuesday at 7 PM on the 3rd floor of the Student Union in the Cape Florida Ballroom for an evening with Every Nation Campus!</p>
<p>Whether you&rsquo;re new to campus or a familiar face, come experience a night to meet new friends and ignite your faith! We can&rsquo;t wait to see you there!</p>",Cape FL Ballroom,2025-10-28 23:00:00+00:00,2025-10-29 00:30:00+00:00,[]
Rosen Life,[],"<p><span class=""NormalTextRun SCXW125180218 BCX8"">Join Rosen Life for a spooky, groovy night you </span><span class=""NormalTextRun SCXW125180218 BCX8"">won&rsquo;t</span><span class=""NormalTextRun SCXW125180218 BCX8""> forget! Throw on your wildest costume and get ready to monster mash the night away with a </span><span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2Themed SCXW125180218 BCX8"">DJ spinning wicked beats</span><span class=""NormalTextRun SCXW125180218 BCX8"">, creepy-cool yard games, and a costume contest where the fiercest fiends score sweet candy prizes. </span><span class=""NormalTextRun SCXW125180218 BCX8"">It&rsquo;s</span><span class=""NormalTextRun SCXW125180218 BCX8""> the ultimate Halloween bash; come for the chills, stay for the thrills!</span></p>",Rosen College Disney Dining Room,2025-10-28 22:00:00+00:00,2025-10-29 01:00:00+00:00,[]
Baptist Collegiate Ministries,[],<p>Join us for an awesome time of worship and fellowship! We can't wait to see you there!</p>,RWC Wet Classroom (by the lap pool),2025-10-28 23:00:00+00:00,2025-10-29 01:00:00+00:00,[]
National Student Speech Language Hearing Association (NSSLHA) - Orlando,[],"<p>We are excited to have you attend the upcoming&nbsp;<strong><u>virtual</u></strong>&nbsp;open house to learn more about the UF AUD program!</p>
<p><strong>When:</strong>&nbsp;<span style=""font-weight: 400;"">Wednesday, October 29</span><span style=""font-weight: 400;"">th</span><span style=""font-weight: 400;""> from 3 pm &ndash; 4:30 pm.</span></p>
<p><strong>RSVP</strong>: Please RSVP on Knight Connect</p>
<p><strong>Attire:</strong>&nbsp;Appropriate attire</p>
<p><strong>Credit:</strong>&nbsp;1 hour</p>
<p><strong>Bonus:</strong>&nbsp;Show your NSSLHA Spirit! Wear your 2025 - 2026 NSSLHA gear (shirt, show your sticker, etc...) to be awarded an additional hour, or past NSSLHA gear for an additional 30 minutes</p>
<p><strong>Attendance Form:&nbsp;</strong>Please fill out&nbsp;this link&nbsp;no later than 24 hours after the event to receive credit!</p>
<p><em>In order to receive credit, you must RSVP on KnightConnect, and complete the attendance form. Please do so within 24 hours of the event to ensure an accurate record of your hours! Please be sure to update your RSVP status if you can no longer attend the event or you will be deducted the number of hours you would have gained at the event*</em></p>
<p><strong>Corresponding Officer:</strong>&nbsp;Karilyn Brudzinski,&nbsp;<a href=""mailto:graduate.ucfnsslha@gmail.com"">graduate.ucfnsslha@gmail.com</a></p>",Online,2025-10-29 19:00:00+00:00,2025-10-29 20:00:00+00:00,[]
Intellectual Decisions on Environmental Awareness Solutions For Us,[],"<p><span style=""font-weight: 400;"">🌱 </span><strong>Join Us for Bi-Weekly Garden Days!</strong><span style=""font-weight: 400;""> 🌱</span></p>
<p><span style=""font-weight: 400;"">Looking for a fun way to de-stress, meet new friends, and get your hands dirty? Come out to </span><strong>Garden Days</strong><span style=""font-weight: 400;""> every two weeks at the Student Union Garden Beds (located on the side of the Student Union facing the John C. Hitt Library, near the bus loop)!</span></p>
<p><span style=""font-weight: 400;"">Whether you're a gardening pro or just curious, we welcome everyone to join us as we </span><strong>weed, plant, and harvest</strong><span style=""font-weight: 400;""> the veggies we grow right here on campus. It&rsquo;s a great chance to reconnect with nature, learn a bit about sustainable gardening, and be part of a green-minded community.</span></p>
<p><span style=""font-weight: 400;"">🗓️ </span><strong>When</strong><span style=""font-weight: 400;"">: Every other Wednesday, @&nbsp; 5pm - 5:45</span></p>
<p><span style=""font-weight: 400;"">📍 </span><strong>Where</strong><span style=""font-weight: 400;"">: Student Union Garden Beds</span></p>
<p><span style=""font-weight: 400;"">Let&rsquo;s dig in, make some new connections, and watch our campus garden thrive! 🌿</span></p>",Student Union,2025-10-29 21:00:00+00:00,2025-10-29 21:45:00+00:00,[]
Honors Congress ,[],"<p>Click on those flag belts and get ready to dodge, grab, and run your way through these classic games! Join us in the Arboretum on October 29th, at 4:00 PM to play some games such as capture the flag, and a childhood classic of Sharks and Minnows.</p>",Arboretum,2025-10-29 20:00:00+00:00,2025-10-29 22:00:00+00:00,[]
HOPE @ UCF,"['Bachelors of Social Work Student Association', 'Active Minds ', 'HOPE @ UCF']","<p><em><strong>Collaboration with HOPE, Active Minds, and the Bachelor of Social Work Student Association (BSWSA)!&nbsp;<br /><br />YOU MUST COMPLETE THIS GOOGLE FORM BEFORE COMING!&nbsp;&nbsp;<a href=""https://forms.gle/S49BSKE5KFccx6fV9"">https://forms.gle/S49BSKE5KFccx6fV9&nbsp;</a></strong></em></p>
<p><em><strong>After you submit the form, you will receive a ""Secret code"" that you will tell the officer at the door to enter!&nbsp;</strong></em></p>
<p>_______________________________&nbsp;</p>
<p><span style=""font-weight: 400;"">Join us at BurgerFi for a spook-tacular evening of food, fun, and frightful festivities! We&rsquo;ll kick things off with ghoulishly good games and keep the laughs going with a Halloween-themed White Elephant gift exchange (bring a silly, spooky, or surprising gift to swap!) The limit is $10!</span></p>
<p><span style=""font-weight: 400;"">Come in costume, bring your friends, and get ready for a night full of burgers, boos, and plenty of tricks and treats. Whether you&rsquo;re here for the games, the grub, or the ghostly good vibes, this is one Halloween hangout you won&rsquo;t want to miss!</span></p>
<p><strong>Partial Proceeds</strong><span style=""font-weight: 400;"">: We will have a partial proceeds at this location running from 11 AM to 9 PM if you are unable to attend the party</span></p>
<p><strong>Who: </strong><em><span style=""font-weight: 400;"">HOPE members; BSWSA members, Active Minds</span></em></p>
<p><strong>When</strong><span style=""font-weight: 400;"">: Wednesday, October 29 at 4:00 - 6:00 PM</span></p>
<p><strong>Where:</strong><span style=""font-weight: 400;""> BurgerFi @ Alafaya: </span><span style=""font-weight: 400;"">4100 N Alafaya Trail, Orlando, FL 32826</span></p>",BurgerFi off of Alafaya,2025-10-29 20:00:00+00:00,2025-10-29 22:00:00+00:00,[]
Project Spotlight,[],"<p>Join us this Wednesday, September 17th at 4:30 pm in Rehearsal Room 1 of the PAC (Theatre side) as we kick off our Playwriting Club! 🤩</p>
<p>We&rsquo;ll be meeting weekly on Wednesdays at 4:30 pm and can&rsquo;t wait to get started! 💙🥳</p>
<p>Anyone is welcome, regardless or major or experience level! If you are interested in playwriting, this is the place for you! 🫶</p>",PAC Rehearsal Room 1,2025-10-29 20:30:00+00:00,2025-10-29 22:00:00+00:00,[]
Project Spotlight,[],"<p>Join us for our Company Meetings where we will play games, give information about our club and each month we have a different fun event at our meeting! From painting to photo shoots, join us for a good time!&nbsp;</p>
<p>We will be meeting at 5:00 in NSC 108 once a month!&nbsp;</p>",NSC 108,2025-10-29 21:00:00+00:00,2025-10-29 23:00:00+00:00,[]
Nike Community,[],<p>We will be playing&nbsp;Hocus Pocus movie along with mini broomstick painting craft and snacks!</p>,Nike Programming Center - Building 101,2025-10-29 21:00:00+00:00,2025-10-29 23:00:00+00:00,[]
Girls Who Code at UCF,[],"<p><strong>🐬 Join us for a fun General Body Meeting with Lockheed Martin 🦋</strong></p>
<p>Come mingle with members and the board and get to know more about Lockheed Martin's recruitment process and how you can get involved!</p>
<p>Join us for Mochinut fundraiser right after to treat yourself.</p>
<p class=""p1""><span class=""s1"">The <strong>l</strong></span><span class=""s2""><strong>ocation</strong> and <strong>time</strong> <strong>TBD</strong></span><span class=""s1""> so follow our Instagram and join our Discord to stay in the loop and get live updates!</span></p>
<p class=""p2""><span class=""s3"">Discord: </span>https://discord.gg/NWB3kurgBN</p>
<p class=""p2"">Instagram: https://www.instagram.com/girlswhocodeucf/</p>",UCF,2025-10-29 22:00:00+00:00,2025-10-29 23:00:00+00:00,[]
Wesley at UCF,[],"<p><span style=""font-weight: 400;"">Join us at 5:30 p.m. for a free dinner! Hang out with friends, play some games, and destress over some warm, free food each Wednesday.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Once a month, we will have an event night; past events have included karaoke, vision board crafting, bingo, etc. With these events, you have the opportunity to win gift cards to local restaurants, supporting the Orlando community!</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">We are located by the Barnes &amp; Noble on East Plaza.&nbsp;</span></p>",Wesley Foundation,2025-10-29 21:30:00+00:00,2025-10-29 23:30:00+00:00,[]
Pre-Pathology Society ,[],"<p><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Learn about the harsh realities of fentanyl, break the stigma surrounding Substance Use Disorders (SUDs), and gain hands-on knowledge on using Narcan to save someone&rsquo;s life</span></p>
<p><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">October 29th @ 6:30pm</span></p>
<p><span class=""a_GcMg font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Student union garden key room 221</span></p>","Student Union, Room 221",2025-10-29 22:30:00+00:00,2025-10-30 00:15:00+00:00,[]
Apollo Community,[],"<table width=""925"">
<tbody>
<tr>
<td width=""925"">Residents will be able to display their creativity by decorating cookies. Despite this program being Halloween themed, residents will be able to decorate their cookies in any way that they would like. Residents will also be given the opportunity to connect with their RAs and other residents in Apollo across all of the different Halls.</td>
</tr>
</tbody>
</table>",lake hall,2025-10-29 23:00:00+00:00,2025-10-30 01:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us every Thursday from 9:00 a.m. to 1:00 p.m. as we support a local food pantry at Faith United Methodist Church. Whether you can stay for just an hour or the entire time, your help will make a significant difference!</p>",Faith United Methodist Church,2025-10-30 13:00:00+00:00,2025-10-30 17:00:00+00:00,['Community Service']
Wesley at UCF,[],"<p>Spiritual Direction is the ancient practice of sitting with others while deeply listening and paying attention to the wisdom within.</p>
<p>&nbsp;</p>
<p>Led by certified Spiritual Director Barb Shortal, this time will focus on truly listening to your words, feelings, thoughts, and even the silence&mdash;to help you uncover what is already within you. A spiritual director&rsquo;s role is to hold a compassionate, sacred space where you feel safe to explore, ask questions, wonder, and discern. Our time together is precious and always confidential.</p>
<p>&nbsp;</p>
<p>All are welcome, regardless of faith or non-faith background.</p>
<p>&nbsp;</p>
<p><strong data-stringify-type=""bold"">Vision Board Workshop 8/28/25</strong><br />Join us as we create vision boards as a way to visually express your hopes, values, and goals. This creative exercise will help you reflect on where you sense God (or the sacred) is leading you, setting the tone for deeper spiritual direction conversations throughout the semester.</p>",Wesley Foundation,2025-10-30 15:30:00+00:00,2025-10-30 17:00:00+00:00,[]
Phi Eta Sigma National Honor Society ,[],"<p>📢 Announcement 📢<br /><br />Want to learn more about Phi Eta Sigma💛? Want to get to know the E-Board? Graduating this semester and need extra points to get your PES Grad Cord🎓? Then make sure to visit our table at the Student Union September 25th, October 9th, October 30th, and November 13th✨️<br /><br />If you stop by our table at the Student Union, you will recieve 0.5 point! So this is a great opportunity to get those extra points if you need them‼️<br />.</p>",Student Union Patio,2025-10-30 16:00:00+00:00,2025-10-30 20:00:00+00:00,[]
GenCLEO@UCF,[],"<section class=""css-1w2p18d ef8693v3"">
<div class=""css-1ewqap6 ef8693v1"">
<div class=""css-xtvjy3"">
<div class=""css-1njhs7w et84t5r0"">
<div id=""collapseEventDetail-description"" class=""css-gygapm ejb1rhe1"">
<div>
<p></p>
<p data-start=""119"" data-end=""163"">🌎 <strong data-start=""122"" data-end=""158"">GenCLEO Action Weekly Phonebanks</strong> 🌎</p>
<p data-start=""165"" data-end=""417"">Join us every Monday and Thursday from 5:00&ndash;6:00 PM for our recurring virtual phonebanks! Together, we&rsquo;ll be reaching out to voters in Districts 1 and 3 to share who GenCLEO Action is endorsing as a Climate Champion in this upcoming election.</p>
<p data-start=""419"" data-end=""570"">This is a great way to earn service hours, build advocacy skills, and take action for the future of our planet&mdash;all from the comfort of your home!</p>
<p data-start=""572"" data-end=""659"">📅 <strong data-start=""575"" data-end=""584"">When:</strong> Every Monday &amp; Thursday, 5:00&ndash;6:00 PM<br data-start=""622"" data-end=""625"" />💻 <strong data-start=""628"" data-end=""638"">Where:</strong> Virtually via Zoom</p>
<p data-start=""661"" data-end=""683"">👉 <strong data-start=""664"" data-end=""681"">Sign up here:</strong></p>
<ul data-start=""684"" data-end=""737"">
<li data-start=""684"" data-end=""709"">
<p data-start=""686"" data-end=""709""><a class=""decorated-link"" rel=""noopener"" data-start=""686"" data-end=""707"">Monday Phonebanks</a></p>
</li>
<li data-start=""710"" data-end=""737"">
<p data-start=""712"" data-end=""737""><a class=""decorated-link"" rel=""noopener"" data-start=""712"" data-end=""735"">Thursday Phonebanks</a></p>
</li>
</ul>
<p data-start=""739"" data-end=""805"">⭐ Earn <strong data-start=""746"" data-end=""764"">1 service hour</strong> for each phonebank session you attend!</p>
<hr data-start=""807"" data-end=""812"" />
<p data-start=""814"" data-end=""846"">📲 <strong data-start=""817"" data-end=""844"">Stay connected with us!</strong></p>
<ul data-start=""847"" data-end=""988"">
<li data-start=""847"" data-end=""922"">
<p data-start=""849"" data-end=""922"">Join our Discord: <a class=""decorated-link"" href=""https://discord.gg/eJraz8rP?event=1420214346604089445"" target=""_new"" rel=""noopener"" data-start=""867"" data-end=""920"">https://discord.gg/eJraz8rP?event=1420214346604089445</a></p>
</li>
<li data-start=""923"" data-end=""988"">
<p data-start=""925"" data-end=""988"">Follow us on Instagram: <a class=""decorated-link"" href=""https://www.instagram.com/gencleo_ucf"" target=""_new"" rel=""noopener"" data-start=""949"" data-end=""986"">https://www.instagram.com/gencleo_ucf</a></p>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</section>",Online,2025-10-30 21:00:00+00:00,2025-10-30 22:00:00+00:00,['Community Service']
